SAFE MEBP Dashboard,,,,,,,,,,
,Block,Task_ID,Created_By,Responsible,Description,Raised_On,Status,Completed_Date,Type,Resolution_Notes
179,L6 BLOCK,7887,Dinakar Raj D,Jegathesh Johnson,Staircase no 2 4th & 5th floor sprinkler not working,2022-06-07,OPEN,,PA TALK BACK,
180,E2 BLOCK,7889,Ananda M,Praveen M P,Fire extinguishers reffiling work done post obeserved extinguishers sticker warnout.,2022-06-07,OPEN,,FIRE EXTINGUISHER,
181,E2 BLOCK,7891,Ananda M,Praveen M P,Fire extinguishers reffiling work done post obeserved extinguishers sticker warnout,2022-06-07,OPEN,,FIRE EXTINGUISHER,
182,F2 BLOCK,7893,Manjunath Rao,Jegathesh Johnson,"Staircase -04, 1st floor ,Hooter not working",2022-06-07,OPEN,,FIRE ALARM,
183,F2 BLOCK,7895,Manjunath Rao,Jegathesh Johnson,"Staircase -05, UB speaker not working",2022-06-07,OPEN,,FIRE ALARM,
184,F2 BLOCK,7897,Manjunath Rao,Jegathesh Johnson,UB speaker not working,2022-06-07,OPEN,,PA TALK BACK,
185,F3 BLOCK,7899,Manjunath Rao,Jegathesh Johnson,Chiller Plant hooter not working,2022-06-07,OPEN,,FIRE ALARM,
186,F3 BLOCK,7901,Manjunath Rao,Jegathesh Johnson,"Staircase -01, 1st & 9th Floor Hooter not working",2022-06-07,OPEN,,FIRE ALARM,
187,D4 MLCP,7903,Sudeep,Jegathesh Johnson,FAS - Talk Back System not working,2022-06-07,OPEN,,FIRE ALARM,
188,F3 BLOCK,7905,Manjunath Rao,Jegathesh Johnson,"Staircase -01, LB, 7th Floor Speaker not working",2022-06-07,OPEN,,FIRE ALARM,
189,D4 BLOCK,7907,Sudeep,Jegathesh Johnson,"Staircase 1,2, 3, & 3rd floor to 10th floor Hooter MCP & above fall ceiling detectors not working & not available cable loop & detectors was disconnected during IBM project time.",2022-06-07,OPEN,,FIRE ALARM,
190,F3 BLOCK,7909,Manjunath Rao,Jegathesh Johnson,"Staircase -02, UB, 6th Floor Speaker not working",2022-06-07,OPEN,,FIRE ALARM,
191,D3 BLOCK,7911,Sudeep,Jegathesh Johnson,"3rd,5th,7th&8th floor Hooter, MCP not available from flooding & loop card issue",2022-06-07,OFFER SHARED AWAITING PO,,FIRE ALARM,
192,F3 BLOCK,7913,Manjunath Rao,Jegathesh Johnson,"Staircase -02, 1st Floor Hooter not working",2022-06-07,OPEN,,FIRE ALARM,
193,F3 BLOCK,7915,Manjunath Rao,Jegathesh Johnson,"Staircase -03, LB, Speaker not working",2022-06-07,OPEN,,FIRE ALARM,
194,D4 BLOCK,7917,Sudeep,Jegathesh Johnson,"1st floor & 2nd Floor Hooter, MCP, Not",2022-06-07,OPEN,,FIRE ALARM,
195,D3 BLOCK,7919,Sudeep,Jegathesh Johnson,"Ground ST #2,1st,2nd all staircases Hooter, MCP ,speaker not available",2022-06-07,OPEN,,FIRE ALARM,
196,L2 BLOCK,7921,Babu naik,Prasanth M,L 2 Block control room vidionetic softwere roteting issue,2022-06-07,OPEN,,CCTV,
197,K BLOCK,7807,Venkat,Prasanth M,"K Block, Gate1, Gate 2 & Skywalk total-33No's camera's are failed.",2022-06-06,COMPLETED,,CCTV,
198,COMMON AREA,7809,Mano,Prasanth M,All PTZ Camera rotation stopped,2022-06-06,OPEN,,CCTV,
199,G2 BLOCK,7811,Satish,Jegathesh Johnson,Troubles need to rectify,2022-06-06,OPEN,,FIRE ALARM,
200,E2 BLOCK,7813,Aananda M,Jegathesh Johnson,Need to be done all Claint panel & Building FAS System intigrated,2022-06-06,OPEN,,FIRE ALARM,
201,E1 BLOCK,7815,Ananda M,Jegathesh Johnson,Need to be done all Claint panel & Building FAS System intigrated,2022-06-06,OFFER SHARED AWAITING PO,,FIRE ALARM,
202,E2 BLOCK,7817,Ananda M,Jegathesh Johnson,Need to be clean all location smoke director,2022-06-06,OPEN,,FIRE ALARM,
203,G1 BLOCK,7819,Satish,Jegathesh Johnson,All locations detectors check & need to be clean,2022-06-06,OPEN,,FIRE ALARM,
204,E1 BLOCK,7821,Ananda M,Jegathesh Johnson,Need to be clean all location smoke director,2022-06-06,OPEN,,FIRE ALARM,
205,G2 BLOCK,7823,Satish,Jegathesh Johnson,All locations detectors check & need to be clean,2022-06-06,OPEN,,FIRE ALARM,
206,F2 BLOCK,7825,Manjunath Rao,Jegathesh Johnson,All locations detectors check & need to be clean,2022-06-06,OPEN,,FIRE ALARM,
207,F3 BLOCK,7827,Manjunath Rao,Jegathesh Johnson,All locations detectors check & need to be clean,2022-06-06,OPEN,,FIRE ALARM,
208,E2 BLOCK,7829,Ananda M,Praveen M P,Need to be done yard Hydrant service only permission suturday & Sunday,2022-06-06,OPEN,,FIRE FIGHTING,
209,E2 MLCP,7831,Ananda M,Praveen M P,Need to be done yard Hydrant service only permission suturday & Sunday,2022-06-06,OPEN,,FIRE FIGHTING,
210,G3 BLOCK,7833,Balakrishna,Jegathesh Johnson,All locations detectors check & need to be clean,2022-06-06,OPEN,,FIRE ALARM,
211,G4 BLOCK,7835,Balakrishna,Jegathesh Johnson,All locations detectors check & need to be clean,2022-06-06,OPEN,,FIRE ALARM,
212,E1 BLOCK,7837,Ananda M,Praveen M P,Need to be done yard Hydrant service only permission suturday & Sunday,2022-06-06,OPEN,,FIRE FIGHTING,
213,G1 BLOCK,7839,Satish,Praveen M P,All locations butterfly valve checking & servicing need to be done nee,2022-06-06,OPEN,,FIRE FIGHTING,
214,G2 BLOCK,7841,Satish,Praveen M P,All locations butterfly valve checking & servicing need to be done nee,2022-06-06,OPEN,,FIRE FIGHTING,
215,G1 BLOCK,7843,Satish,Praveen M P,All pumps alignment need to be done,2022-06-06,OPEN,,FIRE FIGHTING,
216,G2 BLOCK,7845,Satish,Praveen M P,All pumps alignment need to be done,2022-06-06,OPEN,,FIRE FIGHTING,
217,N1 BLOCK,7801,BABU NAIK,Prasanth M,N1 Block passenger lift- R1 got faild due to backup breaking issue,2022-06-05,OPEN,,CCTV,
218,G4 BLOCK,7803,BABU NAIK,Prasanth M,G4 Block stairecase-2 camera got faild,2022-06-05,COMPLETED,,CCTV,
219,COMMON AREA,7805,Venkat,Prasanth M,"The following Blocks, F2,f3,G1,G2,G3,G4,N1 & Gate 3 total 86No's camera's are failed.",2022-06-05,COMPLETED,,CCTV,
220,E2 BLOCK,7789,Ananda M,Jegathesh Johnson,Flow switch is activited but not showing the correct location,2022-06-04,OPEN,,FIRE ALARM,
221,N1 BLOCK,7791,Venkat,Prasanth M,N1 Passenger Lift Camera (L2) Failed,2022-06-04,COMPLETED,,CCTV,
222,L2 BLOCK,7793,Venkat,Prasanth M,"L2 Passenger Lift- A, B, C, D, E, F, G & H- 08No's camera's are failed.",2022-06-04,COMPLETED,,CCTV,
223,L2 BLOCK,7795,Venkat,Prasanth M,L2 Terrace Service Lift Lobby camera failed,2022-06-04,COMPLETED,,CCTV,
224,N1 BLOCK,7797,Venkat,Prasanth M,N1 Passenger Lilft - L3 Camera is failed,2022-06-04,COMPLETED,,CCTV,
225,N1 BLOCK,7799,Mano,Prasanth M,"N1 Passenger Lift R1, L2 & L3 - 3Nos Cameras got failed.",2022-06-04,COMPLETED,,CCTV,
226,G2 BLOCK,7787,Satish,Praveen M P,Jockey pump auto cut off not working,2022-06-03,COMPLETED,,FIRE FIGHTING,
227,L2 BLOCK,7773,Mano.c,Prasanth M,L2 MLCP 4th flr LLB camera Failed,2022-06-02,COMPLETED,,CCTV,
228,E2 BLOCK,7775,Ananda M,Praveen M P,All pumps performance test report,2022-06-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
229,E2 MLCP,7777,Ananda M,Praveen M P,All pumps performance test report,2022-06-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
230,E1 BLOCK,7779,Ananda M,Praveen M P,All pumps performance test report,2022-06-02,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
231,E2 BLOCK,7781,Ananda M,Praveen M P,All pumps foot valve need to be done,2022-06-02,OPEN,,FIRE FIGHTING,
232,E2 MLCP,7783,Ananda M,Praveen M P,All pumps foot valve need to be done,2022-06-02,OPEN,,FIRE FIGHTING,
233,K BLOCK,7741,Venkat,Prasanth M,K Block Electrical Room,2022-06-01,COMPLETED,,CCTV,
234,K BLOCK,7743,Venkat,Prasanth M,K Block Transformer camera is failied.,2022-06-01,COMPLETED,,CCTV,
235,K BLOCK,7745,Venkat,Prasanth M,k Block Pump Room Camera is failed.,2022-06-01,COMPLETED,,CCTV,
236,K BLOCK,7747,Venkat,Prasanth M,K Block D G Room Camera is failed.,2022-06-01,COMPLETED,,CCTV,
237,K BLOCK,7749,Venkat,Prasanth M,K Block Ramp In & Out camera is failed.,2022-06-01,COMPLETED,,CCTV,
238,K BLOCK,7751,Venkat,Prasanth M,K Block East Camera is failed.,2022-06-01,COMPLETED,,CCTV,
239,COMMON AREA,7753,Venkat,Prasanth M,Gate 1 Service Lane Camera is failed.,2022-06-01,COMPLETED,,CCTV,
240,COMMON AREA,7755,Venkat,Prasanth M,Gate 1 Entry Lane 1 camera is failed.,2022-06-01,COMPLETED,,CCTV,
241,COMMON AREA,7757,Venkat,Prasanth M,Gate 1 Entry Lane 2 camera is failed,2022-06-01,COMPLETED,,CCTV,
242,COMMON AREA,7759,Venkat,Prasanth M,Gate 1 Exit Lane 1 camera is failed.,2022-06-01,COMPLETED,,CCTV,
243,COMMON AREA,7761,Venkat,Prasanth M,35No's Camera's are failed ( K Block & Common Area),2022-06-01,COMPLETED,,CCTV,
244,N1 BLOCK,7763,Mano,Prasanth M,N1 passenger llift R1 camera failed,2022-06-01,OPEN,,CCTV,
245,E1 BLOCK,7765,Ananda M,Praveen M P,"Food court first floor sprinkler bulb 4 no water leakage, need to be rectifiey",2022-06-01,OPEN,,SPRINKLER SYSTEM,
246,E2 BLOCK,7767,Ananda M,Jegathesh Johnson,FAS system 248 trouble need to be rectified,2022-06-01,OPEN,,FIRE ALARM,
247,L2 BLOCK,7671,Control Room,Prasanth M,,2022-05-31,OPEN,,CCTV,
248,G3 BLOCK,7673,Venkat,Prasanth M,G3 A wing passenger lift6 camera - failed,2022-05-31,OPEN,,CCTV,
249,N1 BLOCK,7677,Control Room,Prasanth M,N1 Transformer Yard - Failed,2022-05-31,OPEN,,CCTV,
250,N1 BLOCK,7679,Control,Prasanth M,N1 Exit Gate,2022-05-31,OPEN,,CCTV,
251,D1 BLOCK,7681,Control Room,Prasanth M,D1 DG Room North Entry,2022-05-31,OFFER SHARED AWAITING PO,,CCTV,
252,D1 BLOCK,7683,Control Room,Prasanth M,D1 North West - Failed,2022-05-31,OFFER SHARED AWAITING PO,,CCTV,
253,D1 BLOCK,7685,Control Room,Prasanth M,D1 DG Room East - Fixed - Failed,2022-05-31,OFFER SHARED AWAITING PO,,CCTV,
254,D1 BLOCK,7687,Control Room,Prasanth M,D1 Electrical Room - Fixed - Failed,2022-05-31,OFFER SHARED AWAITING PO,,CCTV,
255,D1 BLOCK,7689,Control Room,Prasanth M,D1 Pump Room- Fixed camera- Failed,2022-05-31,OFFER SHARED AWAITING PO,,CCTV,
256,D3 BLOCK,7691,Control Room,Prasanth M,D3 Electrical Room - Fixed camera - Failed,2022-05-31,OFFER SHARED AWAITING PO,,CCTV,
257,D3 BLOCK,7693,Control Room,Prasanth M,D3 Pump Room - Fixed camera - Failed,2022-05-31,OFFER SHARED AWAITING PO,,CCTV,
258,D4 BLOCK,7695,Control Room,Prasanth M,D4 Terrace Entry - Fixed camera - Failed,2022-05-31,OFFER SHARED AWAITING PO,,CCTV,
259,D4 BLOCK,7697,Control Room,Prasanth M,D4 Electrical Room- Fixed camera - Failed,2022-05-31,OFFER SHARED AWAITING PO,,CCTV,
260,D4 MLCP,7699,Control Room,Prasanth M,D4 MLCP - DG Room - Fixed Camera - Failed,2022-05-31,OFFER SHARED AWAITING PO,,CCTV,
261,D4 MLCP,7701,Control Room,Prasanth M,D4 MLCP Pump Room - Fixed camera - Failed,2022-05-31,OFFER SHARED AWAITING PO,,CCTV,
262,D4 BLOCK,7703,Control Room,Prasanth M,D4 North East - PTZ camera - Failed,2022-05-31,OFFER SHARED AWAITING PO,,CCTV,
263,L1 BLOCK,7705,Control Room,Prasanth M,L1 Service Lift Lobby Terrace - Fixed camera - Failed,2022-05-31,OPEN,,CCTV,
264,G3 BLOCK,7707,Control Room,Prasanth M,G3 Terrace Staircase-2 - Fixed camera - Failed,2022-05-31,OPEN,,CCTV,
265,N1 BLOCK,7709,Control Room,Prasanth M,N1 Passenger Lift R-5 - Fixed camera - Failed,2022-05-31,OPEN,,CCTV,
266,K BLOCK,7711,Control Room,Prasanth M,K Block Transformer - Fixed camera - Failed,2022-05-31,OPEN,,CCTV,
267,NXT 2,7713,Control Room,Prasanth M,Tower-2 GF outside area- Fixed camera - Failed,2022-05-31,OPEN,,CCTV,
268,NXT 1,7715,Control Room,Prasanth M,T1 B3 Parking area 5 - Fixed - Failed,2022-05-31,COMPLETED,,CCTV,
269,NXT 1,7717,Control Room,Prasanth M,T1 B3 Front of Chiller room- Fixed camera - Failed,2022-05-31,COMPLETED,,CCTV,
270,NXT 1,7719,Control Room,Prasanth M,T1 B3 Parking area 1- Fixed camera - Failed,2022-05-31,COMPLETED,,CCTV,
271,NXT 1,7721,Control Room,Prasanth M,T1 B3 Parking area 4- Fixed camera - Failed,2022-05-31,COMPLETED,,CCTV,
272,NXT 1,7723,Control Room,Prasanth M,T1 B3 Front of Electrical room - Fixed camera - Failed,2022-05-31,COMPLETED,,CCTV,
273,E2 MLCP,7725,Ananda M,Praveen M P,The MLCP booster pump is not automatically auto Cut off need to be rectifiye.,2022-05-31,OPEN,,FIRE FIGHTING,
274,G4 BLOCK,7727,Venkat,Prasanth M,G4 Passenger Lift-5 Camera is failed.,2022-05-31,COMPLETED,,CCTV,
275,G3 BLOCK,7729,Venkat,Prasanth M,G3 Service Lift Terrace A Wing Camera is failed.,2022-05-31,OPEN,,CCTV,
276,E2 BLOCK,7731,Ananda M,Praveen M P,Fire extingushers have taken 3rd batch refilling but E2 have not been returned,2022-05-31,COMPLETED,,FIRE EXTINGUISHER,
277,E1 BLOCK,7733,Ananda M,Praveen M P,Fire extingushers have taken 3rd batch refilling but E1 have not been returned,2022-05-31,COMPLETED,,FIRE EXTINGUISHER,
278,G3 BLOCK,7735,kumar,Prasanth M,G3 Service Lift Terrace A Wing camera got failed.,2022-05-31,OPEN,,CCTV,
279,E2 MLCP,7737,Ananda M,Praveen M P,jockey pump section line does not holding water pressure..,2022-05-31,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
280,G1 BLOCK,7739,Satish,Praveen M P,Vertical engine start automatically,2022-05-31,OPEN,,FIRE FIGHTING,
281,E2 BLOCK,7663,Ananda M,Jegathesh Johnson,Staircase No- 03 Ground floor Hooter not working,2022-05-30,OPEN,,FIRE ALARM,
282,E2 BLOCK,7665,Ananda M,Jegathesh Johnson,Staircase No-03 4th Flloor Hooter not working,2022-05-30,OPEN,,FIRE ALARM,
283,E2 BLOCK,7667,Ananda M,Jegathesh Johnson,"Staircase No-03 , 7th Flloor Hooter not working",2022-05-30,OPEN,,FIRE ALARM,
284,E2 MLCP,7669,Ananda M,Jegathesh Johnson,MLCP Staircase No- 01 & 02 all floor Hooter not working,2022-05-30,OPEN,,FIRE ALARM,
285,E2 BLOCK,7661,Ananda M,Praveen M P,E2 block office building Fire Dg over heating & heavy smoke Dg runing time,2022-05-28,OPEN,,FIRE FIGHTING,
286,E2 BLOCK,7659,Ananda M,Jegathesh Johnson,Fire Alarm System 245 needs to solve the problem,2022-05-17,OPEN,,FIRE ALARM,
287,H2 BLOCK,7657,Ranjith m,Praveen M P,A wing jockey pump auto cut off problem,2022-05-16,COMPLETED,2022-05-16,FIRE FIGHTING,Report shared
288,G2 BLOCK,7655,Satish,Praveen M P,1 no drain pipe ball valve (50 dia) need to be replace,2022-05-14,COMPLETED,2022-05-16,SPRINKLER SYSTEM,Report shared
289,F3 BLOCK,7653,Manjunath Rao,Praveen M P,"FHC #1, 3rd & 4th floor spindle washer need to be replace",2022-05-13,COMPLETED,2022-05-14,HYDRANT SYSTEM,Report shared
290,D2 BLOCK,7647,Sudeep,Praveen M P,Jockey pump not working,2022-05-08,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Need to be replace single phase preventer
291,G1 BLOCK,7645,Satish Kumar,Praveen M P,Pressure not holding at pump room,2022-05-05,COMPLETED,2022-05-13,FIRE FIGHTING,Report shared
292,N1 BLOCK,7623,Ananthanag,Prasanth M,N1 Transformer Yard near Fixed Camera Failed,2022-04-27,OPEN,,CCTV,
293,N1 BLOCK,7625,Ananthanag,Prasanth M,N1 Exit Gate near Fixed Camera Failed,2022-04-27,OPEN,,CCTV,
294,N1 BLOCK,7627,Ananthanag,Prasanth M,Terrace service lift lobby Access Control not working,2022-04-27,OPEN,,ACCESS CONTROL,
295,N1 BLOCK,7629,Ananthanag,Prasanth M,Terrace staircase #1 Access Control not working,2022-04-27,OPEN,,ACCESS CONTROL,
296,N1 BLOCK,7631,Ananthanag,Prasanth M,Terrace staircase #2 Access Control not working,2022-04-27,OPEN,,ACCESS CONTROL,
297,N1 BLOCK,7633,Ananthanag,Prasanth M,Ground floor LT room Access Control working,2022-04-27,OPEN,,ACCESS CONTROL,
298,N1 BLOCK,7635,Ananthanag,Prasanth M,Ground floor DG room Access Control working,2022-04-27,OPEN,,ACCESS CONTROL,
299,H2 BLOCK,7637,Ranjith m,Jegathesh Johnson,1st floor Hooters not working,2022-04-27,F/O SUPPORT REQUIRED,,FIRE ALARM,"Team ill be visited to the block for checking the ,but client side not getting the proper permission for carry out the activity"
300,H2 BLOCK,7639,Ranjith m,Jegathesh Johnson,2nd floors hooter are not working it,2022-04-27,F/O SUPPORT REQUIRED,,FIRE ALARM,"Team ill be visited to the block for checking the ,but client side not getting the proper permission for carry out the activity"
301,G1 BLOCK,7603,Satish kumar M V,Praveen M P,Fire pumps pressure switch need to be set asper pumps sequence chart,2022-04-26,OPEN,,FIRE FIGHTING,
302,G2 BLOCK,7605,Satish Kumar M V,Praveen M P,Fire pumps pressure switch need to be set asper pumps sequence chart,2022-04-26,OPEN,,FIRE FIGHTING,
303,G1 BLOCK,7607,Satish kumar,Praveen M P,All fire pumps health check up need to be done,2022-04-26,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
304,G1 BLOCK,7609,Satish,Praveen M P,All fire pumps pressure switch calibration need to be done,2022-04-26,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Need to be share the offer
305,G2 BLOCK,7611,Satish,Praveen M P,All fire pumps health check up need to be done,2022-04-26,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
306,G2 BLOCK,7613,Satish,Praveen M P,All fire pumps pressure switch calibration need to be done,2022-04-26,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Need to be share the offer
307,G3 BLOCK,7615,Balakrishna P N,Praveen M P,All fire pumps health check up need to be done,2022-04-26,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
308,G3 BLOCK,7617,Balakrishna P N,Praveen M P,All fire pumps pressure switch calibration need to be done,2022-04-26,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Need to be share the offer
309,G4 BLOCK,7619,Balakrishna P N,Praveen M P,All fire pumps health check up need to be done,2022-04-26,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
310,G4 BLOCK,7621,Balakrishna PN,Praveen M P,All fire pumps pressure switch calibration need to be done,2022-04-26,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Need to be share the offer
311,F2 BLOCK,7579,Manjunath Rao,Praveen M P,Supply of new Fire extinguishers,2022-04-01,OFFER SHARED AWAITING PO,,FIRE EXTINGUISHER,
312,F3 BLOCK,7581,Manjunath Rao,Praveen M P,Supply of New Fire extinguishers,2022-04-01,OFFER SHARED AWAITING PO,,FIRE EXTINGUISHER,
313,F2 BLOCK,7583,Manjunath Rao,Praveen M P,Fire pumps vibration need to be rectify,2022-04-01,OPEN,,FIRE FIGHTING,
314,F3 BLOCK,7585,Manjunath Rao,Praveen M P,Fire pumps vibration need to be rectify,2022-04-01,OPEN,,FIRE FIGHTING,
315,F2 BLOCK,7587,Manjunath Rao,Praveen M P,Fire pumps pressure switch need to set asper pumps sequence chart,2022-04-01,COMPLETED,2022-04-17,FIRE FIGHTING,Completed
316,F3 BLOCK,7589,Manjunath Rao,Praveen M P,Fire pumps pressure switch need to set asper pumps sequence chart,2022-04-01,COMPLETED,2022-04-17,FIRE FIGHTING,Completed
317,F3 BLOCK,7591,Manjunath Rao,Jegathesh Johnson,Smoke detector need to be fix,2022-04-01,F/O SUPPORT REQUIRED,,FIRE ALARM,"Team ill be visited to the block for checking the ,but client side not getting the proper permission for carry out the activity"
318,E1 BLOCK,7569,Ananda M,Praveen M P,Battery not charging need to be check,2022-03-18,COMPLETED,,FIRE FIGHTING,Completed
319,L7 MLCP,7561,Dinakar Raj D,Praveen M P,Jockey pump coupling rubber bush got damaged,2022-03-15,COMPLETED,2022-03-04,FIRE FIGHTING,spider bush replaced done
320,E2 BLOCK,7563,Ananda M,Prasanth M,E2 Block CCTV Rack UPS not working,2022-03-15,OPEN,,CCTV,
321,E2 BLOCK,7565,Ananda M,Praveen M P,Reffiling ABC fire extinguishers not installed Location Wise ..,2022-03-15,COMPLETED,,FIRE EXTINGUISHER,
322,E1 BLOCK,7567,Ananda M,Praveen M P,Reffiling ABC fire extinguishers not installed Location Wise ..,2022-03-15,COMPLETED,2022-05-13,FIRE EXTINGUISHER,
323,D4 BLOCK,7559,Sudeep,Praveen M P,Jockey pump water not lifting,2022-03-12,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
324,E2 BLOCK,7557,Ananda M,Jegathesh Johnson,"Fire Alarm Panel Enabled but Not Reset, Smoke Detector Ground Floor SD-32 Must Be Verified",2022-03-11,COMPLETED,2022-04-27,FIRE ALARM,"Issue rectified on 17/Mar/22, now the system has normal condition only"
325,E2 BLOCK,7551,Ananda M,Praveen M P,fire extinguishers Reffiling pending PO has released,2022-03-10,COMPLETED,,FIRE EXTINGUISHER,2nd slot has been sent out to refilling
326,E1 BLOCK,7553,Ananda M,Praveen M P,fire extinguishers Reffiling pending PO has released,2022-03-10,COMPLETED,,FIRE EXTINGUISHER,2nd slot has been sent out to refilling
327,L6 BLOCK,7555,Dinakar Raj D,Praveen M P,Yard hydrant water leakage,2022-03-10,COMPLETED,,HYDRANT SYSTEM,
328,C1 BLOCK,7431,Ravi C R,Prasanth M,LT Room Access door is not working,2022-03-03,OPEN,,ACCESS CONTROL,
329,C1 BLOCK,7433,Ravi C R,Prasanth M,DG Room Access door is not working,2022-03-03,OPEN,,ACCESS CONTROL,
330,E2 BLOCK,7435,Ananda.M,Prasanth M,Ground floor Pump room access not working,2022-03-03,OPEN,,ACCESS CONTROL,
331,C1 BLOCK,7437,Ravi C R,Prasanth M,Pump Room Access door is not working,2022-03-03,OPEN,,ACCESS CONTROL,
332,E2 BLOCK,7439,Ananda.M,Prasanth M,Ground floor DG room access not working,2022-03-03,OPEN,,ACCESS CONTROL,
333,C1 BLOCK,7441,Ravi C R,Prasanth M,Terrace Staircase-2 Access door is not working,2022-03-03,OPEN,,ACCESS CONTROL,
334,C1 BLOCK,7443,Ravi C R,Prasanth M,Terrace Staircase-4 Access door is not working,2022-03-03,OPEN,,ACCESS CONTROL,
335,E2 BLOCK,7445,Ananda M,Prasanth M,Ground floor A wing LT room access not working,2022-03-03,OPEN,,ACCESS CONTROL,
336,E2 BLOCK,7447,Amanda M,Prasanth M,Ground floor B wing LT room access not working,2022-03-03,OPEN,,ACCESS CONTROL,
337,C2 BLOCK,7449,Ravi C R,Prasanth M,Pump room Access door is not working,2022-03-03,OPEN,,ACCESS CONTROL,
338,C2 MLCP,7451,Ravi C R,Prasanth M,L T Room Access door is not working,2022-03-03,OPEN,,ACCESS CONTROL,
339,E2 BLOCK,7453,Ananda M,Prasanth M,Terrace staircase-01 access not working,2022-03-03,OPEN,,ACCESS CONTROL,
340,C2 MLCP,7455,Ravi C R,Prasanth M,D G room Access door is not working,2022-03-03,OPEN,,ACCESS CONTROL,
341,C2 MLCP,7457,Ravi C R,Prasanth M,Service Lift lobby Terrace- A wing Access door is not working,2022-03-03,OPEN,,ACCESS CONTROL,
342,E2 BLOCK,7459,Ananda M,Prasanth M,Terrace staircase-2 access door not working,2022-03-03,OPEN,,ACCESS CONTROL,
343,E2 BLOCK,7461,Amanda.M,Prasanth M,Terrace staircase-03 access door not working,2022-03-03,OPEN,,ACCESS CONTROL,
344,C2 MLCP,7463,Ravi C R,Prasanth M,MLCP Stair case-1A Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
345,C2 MLCP,7465,Ravi C R,Prasanth M,MLCP Stair case-1B Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
346,E2 BLOCK,7467,Ananda.M,Prasanth M,Terrace staircase-04 access door not working,2022-03-03,OPEN,,ACCESS CONTROL,
347,C4 BLOCK,7469,Ravi C R,Prasanth M,L T room Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
348,E2 MLCP,7471,Ananda M,Prasanth M,Terrace staircase-01 door access not working,2022-03-03,OPEN,,ACCESS CONTROL,
349,E2 MLCP,7473,Ananda M,Prasanth M,Terrace staircase-02 door access not working,2022-03-03,OPEN,,ACCESS CONTROL,
350,C4 BLOCK,7475,Ravi C R,Prasanth M,D G Room Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
351,C4 BLOCK,7477,Ravi C R,Prasanth M,Pump Room Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
352,E1 BLOCK,7479,Ananda M,Prasanth M,Basement Pump room access not working,2022-03-03,OPEN,,ACCESS CONTROL,
353,C4 BLOCK,7481,Ravi C R,Prasanth M,Service Lift lobby Terrace A wing Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
354,C4 BLOCK,7483,Ravi C R,Prasanth M,Service Lift lobby Terrace B wing Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
355,C4 BLOCK,7485,Ravi C R,Prasanth M,Terrace Staircase-1 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
356,C4 BLOCK,7487,Ravi C R,Prasanth M,Terrace Staircase-2 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
357,C4 BLOCK,7489,Ravi C R,Prasanth M,Terrace Staircase-3 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
358,C4 BLOCK,7491,Ravi C R,Prasanth M,Terrace Staircase-4 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
359,C4 BLOCK,7493,Ravi C R,Prasanth M,Terrace Staircase-5 Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
360,E1 BLOCK,7495,Ananda M,Prasanth M,Terrace staircase-02 access door not working,2022-03-03,OPEN,,ACCESS CONTROL,
361,E1 BLOCK,7497,Ananda M,Prasanth M,Terrace staircase-03 door access not working,2022-03-03,OPEN,,ACCESS CONTROL,
362,B BLOCK,7499,Nandakumar C R,Prasanth M,Ground Floor L T Room Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
363,B BLOCK,7501,Nandakumar C R,Prasanth M,,2022-03-03,OPEN,,ACCESS CONTROL,
364,B BLOCK,7503,Nandakumar C R,Prasanth M,Basement Pump Room Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
365,B BLOCK,7505,NandaKumar C R,Prasanth M,Basement STP Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
366,B BLOCK,7507,Nandakumar C R,Prasanth M,Terrace service lift lobby Access Control Door not working,2022-03-03,OPEN,,ACCESS CONTROL,
